Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Sousou no Frieren,Frieren: Beyond Journey's End,9.36,252,1,768,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024","Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Nippon Television Network,       TOHO animation,       Shogakukan","None found, add some",Madhouse,Manga,"Adventure, Drama, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,"44,164",Fall 2023,Fridays at 23:00 (JST),Shounen
Fullmetal Alchemist: Brotherhood,,9.09,3,2,3,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010","Aniplex,       Square Enix,       Mainichi Broadcasting System,       Studio Moriken","Funimation,       Aniplex of America",Bones,Manga,"Action, Adventure, Drama, Fantasy",Military,24 min. per ep.,R - 17+ (violence & profanity),"226,440",Spring 2009,Sundays at 17:00 (JST),Shounen
Steins;Gate,,9.07,13,3,2,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011","Frontier Works,       Media Factory,       Kadokawa Shoten,       Movic,       AT-X,       Kadokawa Pictures Japan,       Nitroplus",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",24 min. per ep.,PG-13 - Teens 13 or older,"189,883",Spring 2011,Wednesdays at 02:05 (JST),
Gintama°,Gintama Season 4,9.06,343,4,634,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016","TV Tokyo,       Aniplex,       Dentsu","Funimation,       Crunchyroll",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",24 min. per ep.,PG-13 - Teens 13 or older,"16,692",Spring 2015,Wednesdays at 18:00 (JST),Shounen
Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,9.05,21,5,2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019","Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Drama, Suspense","Gore, Military, Survival",23 min. per ep.,R - 17+ (violence & profanity),"58,887",Spring 2019,Mondays at 00:10 (JST),Shounen
Gintama: The Final,Gintama: The Very Final,9.04,1533,6,152,Movie,1,Finished Airing,08-Jan-21,"TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros. Japan,       Shueisha",Eleven Arts,Bandai Namco Pictures,Manga,"Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai",1 hr. 44 min.,PG-13 - Teens 13 or older,"4,292",,,Shounen
Gintama',Gintama Season 2,9.03,393,7,559,TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012","TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Miracle Robo,       Studio Jack,       Shueisha","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",24 min. per ep.,PG-13 - Teens 13 or older,"8,162",Spring 2011,Mondays at 18:00 (JST),Shounen
Hunter x Hunter (2011),Hunter x Hunter,9.03,9,8,2,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014","VAP,       Nippon Television Network,       Shueisha",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"211,223",Fall 2011,Sundays at 10:55 (JST),Shounen
Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,9.02,745,9,324,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997","TV Tokyo,       Kitty Films,       Tokuma Shoten,       Tokuma Japan Communications,       Wright Staff",Sentai Filmworks,"K-Factory,       Kitty Film Mitaka Studio",Novel,"Drama, Sci-Fi","Adult Cast, Military, Space",26 min. per ep.,R - 17+ (violence & profanity),"16,328",,,
Gintama': Enchousen,Gintama: Enchousen,9.02,739,10,327,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013","TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Miracle Bus","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",24 min. per ep.,PG-13 - Teens 13 or older,"3,055",Fall 2012,Thursdays at 18:00 (JST),Shounen
